"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"517",2019-06-02,8545.1,8814.78,8524,8725.98,27835.133265,241414596.719505,299353,14585.886999,126530020.383437,"up",3.41
"518",2019-06-03,8726,8800.95,8080.8,8115.82,45692.965104,387155494.973049,431252,22514.316859,190882595.703443,"down",8.91
"519",2019-06-04,8115.66,8115.66,7481.02,7687.03,74143.948941,582173398.325797,645913,36776.597131,288822568.04322,"down",8.48
"520",2019-06-05,7687.04,7896.7,7572.78,7776.5,48679.656455,377635818.004409,426120,26296.533959,204082647.876733,"up",4.28
"521",2019-06-06,7778.08,7868.13,7444.58,7786.7,36624.118747,282156410.543789,371485,18877.986383,145537581.791608,"up",5.69
"522",2019-06-07,7787.57,8100,7737.49,7980.53,33942.225658,269125728.14165,323096,17193.575595,136343077.377057,"up",4.69
"523",2019-06-08,7978.94,8044.65,7751,7893.62,22657.329634,179047320.02388,250864,11795.097294,93237148.4745482,"down",3.79
"524",2019-06-09,7895.28,7935,7506.66,7628.13,31568.465157,243970971.024434,322175,16234.631275,125591062.039171,"down",5.71
"525",2019-06-10,7627.57,8020,7511,7982.75,36756.078468,287125339.970114,387179,19890.868561,155461282.831392,"up",6.78
"526",2019-06-11,7981,8010,7692.23,7884.9,30334.999427,238031771.517473,309059,15793.772451,124001190.82079,"down",4.13
"527",2019-06-12,7884.9,8200,7788.99,8127.64,41597.082622,333291726.646,361980,22826.901026,182925127.467565,"up",5.28
"528",2019-06-13,8127.64,8309.82,8010.03,8218.54,30467.764341,248418184.772047,341246,16100.161346,131293315.798627,"up",3.74
"529",2019-06-14,8216.44,8684.41,8144.32,8650,39835.246255,333475488.55376,410072,20970.623827,175588531.485192,"up",6.63
"530",2019-06-15,8650.88,8864.99,8567.63,8808.7,31791.636039,276420769.293385,335840,16798.379296,146051605.235937,"up",3.47
"531",2019-06-16,8810.77,9333,8760,8953.33,63289.251219,574211342.97966,552319,33804.182046,306793742.108493,"up",6.54
"532",2019-06-17,8953,9444,8950,9313.96,47895.485374,441567296.059266,462160,24826.97685,228962151.241152,"up",5.52
"533",2019-06-18,9312.13,9336.36,8950,9081.55,51554.569401,470271954.298706,449730,28057.047335,255972426.130118,"down",4.32
"534",2019-06-19,9081.97,9304,8960,9255.49,32147.706495,293748062.666849,306202,17533.233016,160303572.015798,"up",3.84
"535",2019-06-20,9253.76,9590,9175.2,9517.12,34556.053982,323621848.198762,350662,18032.190714,168891671.534484,"up",4.52
"536",2019-06-21,9518.06,10174.99,9518.06,10159.86,50484.415892,494783687.985352,474344,28305.732749,277616242.766719,"up",6.9
"537",2019-06-22,10159.86,11160,9921.72,10729.5,104169.447976,1112069567.63811,923334,55336.623587,590676435.788824,"up",12.48
"538",2019-06-23,10729,11392.64,10555.18,10906.07,57445.323945,625330374.746688,557935,30129.801033,327919162.550383,"up",7.93
"539",2019-06-24,10905.95,11143.63,10620.8,11056.59,43101.045285,469746663.938117,440335,22674.413851,247193774.354945,"up",4.92
